fund_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,cluster_kmeans,cluster_hac,name,beta_Mkt_RF_5y,rsquared_5y,vol_ann_5y
61405,-3.034046375209605,7.1365622177800105,0.8050659706050995,-3.359020167655189,0.2446611321243963,-0.5305689590818191,0.89619984355899,0,1,"FRANKLIN WORLD PERSPECTIVES ""I"" (USD)",0.5790542010647369,0.3962683570651898,16.89370848211423
61407,-3.1220519143796843,6.7755789033827,0.3423594198636349,-3.726318256224403,0.31263633085199816,-0.8921929564524587,0.8173781125023591,0,1,"FRANKLIN WORLD PERSPECTIVES ""N"" (USD)",0.5781308610776639,0.3962774541289009,16.895965916943283
61410,-2.325338120076978,-0.47763688546700833,1.409444404547148,-1.8024904906529997,4.242805761705079,1.3298748897594705,1.636568762308323,1,1,"TEMPLETON FRONTIER MARKETS ""A"" (USD)",0.5531784628614833,0.37194057607122033,11.510259228142523
61412,-2.327536986130801,-0.5262950818098643,1.3603108468482104,-1.9491126694861336,4.224222918099052,1.2172382738290424,1.6272225940747218,1,1,"TEMPLETON FRONTIER MARKETS ""A"" (USD) D",0.5550370376306104,0.373909874307244,11.537874719958547
61414,-2.2803988773565864,-0.23789128108438795,1.6490826855056826,-1.5761556355823911,4.092248022449858,1.5524784794256887,1.7237896845530407,1,1,"TEMPLETON FRONTIER MARKETS ""I"" (USD)",0.5537412355932103,0.37412699897218704,11.509815070515758
61417,-2.332132468793589,-1.1445544271522867,0.6439616109593062,-2.577537227829517,4.270472915038671,0.7039674411515637,1.5623953569804983,1,1,"TEMPLETON FRONTIER MARKETS ""N"" (EUR HDG)",0.5497253068833684,0.3728097441349869,11.436132330837374
61539,5.7282926098411515,-2.2703901494486374,-3.25930573885814,1.4783759152187192,-1.805037819577872,-0.21707672560333696,-2.368311449142918,0,1,"MIRABAUD EQ ASIA EX JAPAN ""A"" EUR",0.8935860313629553,0.45775530752586613,16.419139745347195
61592,0.33087604930385295,0.7451743774147415,0.7113711928331279,-3.071882065802302,-0.3888077671391841,0.43350814757834083,-1.0505619935157755,0,1,"EPSILON EURO Q-EQUITY ""R"" ACC",0.6636141704164209,0.3092896882835324,16.884841486814466
61596,-4.489669418087647,-0.9393900540429863,0.4528701242912412,-0.3341619824222718,-1.8552498699534339,4.410960047318557e-05,-1.288666491519173,1,0,"EPSILON Q-FLEXIBLE ""R"" (EUR) ACC",0.3381926344022497,0.30711677283253136,8.183208876032843
61677,4.040722730219905,1.161588552181751,-3.5517118859979346,1.1233641512005361,-2.6348099919115997,-2.392401935736598,-0.612255388887036,0,1,"JAN HH CHINA ""A2"" (SGD) ACC",0.8168494330661504,0.39381766622988446,17.882395872512046
