rebalance_date,rank,symbol,score,weight
2015-08-31,20,MLM,1.3513834798028328,0.05
2015-09-30,1,NFLX,2.865973364258478,0.05
2015-09-30,2,AMZN,1.9608890599595672,0.05
2015-09-30,3,CVC-201606,1.8658755100877205,0.05
2015-09-30,4,PLL-201508,1.771820581710019,0.05
2015-09-30,5,ALTR-201512,1.7545842647426897,0.05
2015-09-30,6,EA,1.74996156358496,0.05
2015-09-30,7,REGN,1.6435465835685306,0.05
2015-09-30,8,TSS-201909,1.5650446602743506,0.05
2015-09-30,9,HAS,1.5584340626624993,0.05
2015-09-30,10,UAA,1.5560373791874014,0.05
2015-09-30,11,EXPE,1.5414011048760248,0.05
2015-09-30,12,ORLY,1.507740206844351,0.05
2015-09-30,13,CI,1.4587591554516477,0.05
2015-09-30,14,SBUX,1.431161152628349,0.05
2015-09-30,15,CB-201601,1.423658444413844,0.05
2015-09-30,16,RAI-201707,1.3809123802139767,0.05
2015-09-30,17,NKE,1.3801477344474735,0.05
2015-09-30,18,CAG,1.3786372032329928,0.05
2015-09-30,19,VMC,1.3778272559593123,0.05
2015-09-30,20,AET-201811,1.3514589702492312,0.05
2015-10-31,1,CVC-201606,3.0260272490054807,0.05
2015-10-31,2,NFLX,2.6308835414270373,0.05
2015-10-31,3,TE-201606,1.9956622629632514,0.05
2015-10-31,4,AMZN,1.9873300986213085,0.05
2015-10-31,5,RAI-201707,1.8188514017789639,0.05
2015-10-31,6,EA,1.8141031605307951,0.05
2015-10-31,7,ORLY,1.5949246281234029,0.05
2015-10-31,8,SBUX,1.568466553303921,0.05
2015-10-31,9,TSS-201909,1.4925420056808396,0.05
2015-10-31,10,EXPE,1.4676771100449404,0.05
2015-10-31,11,NKE,1.4676637868037,0.05
2015-10-31,12,CB-201601,1.4316837612200926,0.05
2015-10-31,13,AIZ,1.4227162058462473,0.05
2015-10-31,14,UAA,1.4009189694877682,0.05
2015-10-31,15,ALTR-201512,1.3794052552894431,0.05
2015-10-31,16,ANDV-201809,1.3626344458842166,0.05
2015-10-31,17,HSP-201509,1.3325487341186288,0.05
2015-10-31,18,NVDA,1.326396222976884,0.05
2015-10-31,19,GAS-201606,1.3155963512250537,0.05
2015-10-31,20,TWC-201605,1.2667236549250385,0.05
2015-11-30,1,CVC-201606,2.4007875594928896,0.05
2015-11-30,2,AMZN,2.371882564996698,0.05
2015-11-30,3,NFLX,2.0549001078708824,0.05
2015-11-30,4,EXPE,1.8828276744431447,0.05
2015-11-30,5,TE-201606,1.677899229285144,0.05
2015-11-30,6,RAI-201707,1.6644994469847607,0.05
2015-11-30,7,EA,1.65135955332067,0.05
2015-11-30,8,SBUX,1.6222022160251865,0.05
2015-11-30,9,TSS-201909,1.6147453931141522,0.05
2015-11-30,10,ORLY,1.497214225925236,0.05
2015-11-30,11,ALTR-201512,1.4853376581755295,0.05
2015-11-30,12,NKE,1.440044446528128,0.05
2015-11-30,13,ANDV-201809,1.4262302150943418,0.05
2015-11-30,14,NVDA,1.4243812565220901,0.05
2015-11-30,15,MAS,1.4075094332902025,0.05
2015-11-30,16,CB-201601,1.3064033604655876,0.05
2015-11-30,17,GOOGL,1.289482337683327,0.05
2015-11-30,18,JNPR-202507,1.2867158897179864,0.05
2015-11-30,19,META,1.2825652840384034,0.05
2015-11-30,20,UAA,1.2668514499828203,0.05
2015-12-31,1,NFLX,2.677171571559305,0.05
2015-12-31,2,AMZN,2.5239293009072794,0.05
2015-12-31,3,TSS-201909,1.9447145638878078,0.05
2015-12-31,4,NVDA,1.8896892767356772,0.05
2015-12-31,5,VRSN,1.7758382005684548,0.05
2015-12-31,6,TE-201606,1.6532958618026252,0.05
2015-12-31,7,ANDV-201809,1.6399757821771657,0.05
2015-12-31,8,GOOGL,1.6175032876261306,0.05
2015-12-31,9,HRL,1.5304682647626446,0.05
2015-12-31,10,CVC-201606,1.5159063557970636,0.05
2015-12-31,11,VLO,1.4519983792300528,0.05
2015-12-31,12,MAS,1.411811043346491,0.05
2015-12-31,13,CAM-201604,1.409402036136364,0.05
2015-12-31,14,CB-201601,1.3988791896546942,0.05
2015-12-31,15,META,1.3957789828670162,0.05
2015-12-31,16,NKE,1.3798776462638416,0.05
2015-12-31,17,SBUX,1.3798383941341967,0.05
2015-12-31,18,RAI-201707,1.3688024213125125,0.05
2015-12-31,19,ARG-201605,1.3280396468401507,0.05
2015-12-31,20,VMC,1.316024168620351,0.05
2016-01-31,1,AMZN,2.599865653796714,0.05
2016-01-31,2,NVDA,2.2726302360398742,0.05
2016-01-31,3,NFLX,2.157624450495658,0.05
2016-01-31,4,HRL,1.7720880138553414,0.05
2016-01-31,5,VRSN,1.7600020901846332,0.05
2016-01-31,6,TE-201606,1.7377978862611334,0.05
2016-01-31,7,GOOGL,1.7232349612151738,0.05
2016-01-31,8,CVC-201606,1.6855873192370265,0.05
2016-01-31,9,FSLR,1.6804678686125163,0.05
2016-01-31,10,PSA,1.4954629429342203,0.05
2016-01-31,11,CB-201601,1.4681757390913668,0.05
2016-01-31,12,RAI-201707,1.4303681928235674,0.05
2016-01-31,13,ANDV-201809,1.3865529597275876,0.05
2016-01-31,14,TAP,1.3595827327018801,0.05
2016-01-31,15,STZ,1.356363563287358,0.05
2016-01-31,16,GAS-201606,1.322770292673634,0.05
2016-01-31,17,TSS-201909,1.3072510402153974,0.05
2016-01-31,18,KDP,1.303602918792264,0.05
2016-01-31,19,TSN,1.253443976502929,0.05
2016-01-31,20,MCD,1.2115322277617637,0.05
2016-02-29,1,FSLR,2.374137369916358,0.05
2016-02-29,2,NVDA,2.178972911158174,0.05
2016-02-29,3,HRL,2.0378989517473043,0.05
2016-02-29,4,CAM-201604,1.7624141576000574,0.05
